idCarta,nombreCarta,Imagen,Removal,Tempo Value,Good?,Control Value,textoCarta,costeCarta,baneada,numeroTesoro,valorAtaque,valorDefensa,porcentajeProbabilidad,flavorCarta,urlImagen,urlImagen1,urlImagen2,urlImagen3,urlImagen4,urlImagen5,urlImagen6,urlImagen7,urlImagen8,urlImagen9,urlImagen10,rulingCarta,expansion,tipo,tipo2,subtipo,subtipo2,subtipo3,subtipo4,rareza,,rareza,daños a la cara ,cuerpo,frenesí,guardián,envenenar ,interrumpir,mata una carta,curar,me descarta,predicción,roba carta,roba carta específica,perder vidas,evasión,ininterrumpible,vigía,aplastarme,aplasta,arrollar,realeza,ganar 5 vidas,acción rápida/sorpresivo,disipar,resguardo,crear ficha tesoro,hurto,descarta,muerte?,megalofobia?,daño electrico?,indestructible?,Estocada?,Invocacion,Sucubo y comandante,Veneno,flor,,,,,,,,,,,,
419,"AIXA, DESERTORA DE LA CORONA",,8/9,4.75,TRUE,,"Aparición en juego: Lucha con la unidad rival objetivo. Derrotado: Si controlas siete o más tesoros, mezcla el resto de tu Descarte y tu mano en tu Reino. Roba tres cartas, luego pon esta carta en el tope.",4,FALSE,,5,4,,,https://i.postimg.cc/QMMybRWp/AIXA-DESERTORA-DE-LA-CORONA-copia.webp,https://i.postimg.cc/FF3SgFDK/ETHERNAL-AIXA-DESERTORA-DE-LA-CORONA.webp,https://i.postimg.cc/x1s0RMd3/AIXA-DESERTORA-DE-LA-CORONA-copia.webp,,,,,,,,,"Los tesoros que estén en nuestro descarte se mezclan en la Bóveda, recordando que nunca los tesoros pueden estar en nuestro Reino. Al indicar que debe ""mezclarse el resto de tu descarte"" significa que esta carta no se mezcla.","{'idExpansion': 5, 'nombreExpansion': 'IMPERIO', 'fechaLanzamiento': '2024-07-04T19:48:17.000+00:00', 'visibilidad': True}","{'idTipo': 28, 'nombreTipo': 'UNIDAD'}",,"{'idSubTipo': 6, 'nombreSubTipo': 'DESERTOR'}","{'idSubTipo': 2, 'nombreSubTipo': 'SOLDADO'}","{'idSubTipo': 13, 'nombreSubTipo': 'REALEZA'}",,"{'idRareza': 4, 'nombreRareza': 'DIAMANTE'}",,"{'idRareza': 4, 'nombreRareza': 'DIAMANTE'}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
29,"AIXA, LA GUERRERA",,4/9,1,FALSE,,Aparición en juego: Hasta tres unidades objetivo no pueden atacar ni bloquear hasta la próxima fase final de su controlador.,5,FALSE,,3,3,,,https://i.postimg.cc/VsBZMpfp/AIXA-LA-GUERRERA.webp,https://i.postimg.cc/zGWTcqx5/aixa-la-guerrera.jpg,https://i.postimg.cc/PxfZJYTr/Mesa-de-trabajo-4-200x.png,https://i.postimg.cc/xdJm0tCp/aixa.jpg,,,,,,,,,"{'idExpansion': 2, 'nombreExpansion': 'FUNDAMENTOS', 'fechaLanzamiento': '2024-05-26T04:08:58.000+00:00', 'visibilidad': True}","{'idTipo': 28, 'nombreTipo': 'UNIDAD'}",,"{'idSubTipo': 2, 'nombreSubTipo': 'SOLDADO'}",,,,"{'idRareza': 3, 'nombreRareza': 'ORO'}",,"{'idRareza': 3, 'nombreRareza': 'ORO'}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,
181,"AIXA, TRONO COMPARTIDO",,5/9,0.5,FALSE,,"Aparición en juego: Puedes pagar 1 oro. Si lo haces, mira las primeras cuatro cartas de tu Reino. Puedes poner una carta de desertor o monje en tu mano. Pon el resto en el fondo.",3,FALSE,,4,3,,,https://i.postimg.cc/mkg2LmZD/AIXA-TRONO-COMPARTIDO-COPIA.webp,https://i.postimg.cc/0yqzwRfM/aixa.webp,,,,,,,,,,"La carta puesta en tu mano puede ser de cualquier tipo (como unidad, monumento o acción) mientras tenga el subtipo  ""Desertor"" o ""Monje""","{'idExpansion': 4, 'nombreExpansion': 'TRONO COMPARTIDO', 'fechaLanzamiento': '2024-05-26T04:09:14.000+00:00', 'visibilidad': True}","{'idTipo': 28, 'nombreTipo': 'UNIDAD'}",,"{'idSubTipo': 2, 'nombreSubTipo': 'SOLDADO'}",,"{'idSubTipo': 13, 'nombreSubTipo': 'REALEZA'}",,"{'idRareza': 1, 'nombreRareza': 'PLATA'}",,"{'idRareza': 1, 'nombreRareza': 'PLATA'}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,
453,"ALDEBARAN, VIGILANTE DEL PASO",,8/9,2.5,TRUE,,"Desafiante. Dureza. Guardián. Resguardo: 2 de oro. Siempre que sobreviva a un combate, gana dos contadores +1/+1.",4,FALSE,,5,4,,,https://i.postimg.cc/V6dt1tj7/ALDEBARAN-VIGILANTE-DEL-PASO-copia.webp,,,,,,,,,,,Sobrevivir significa que haya combatido y siga vivo en la mesa. No necesariamente debe haber ganado el combate (ganar el combate es matar a la otra unidad con la cual combatió).,"{'idExpansion': 6, 'nombreExpansion': 'ANCESTROS', 'fechaLanzamiento': '2024-11-19T03:36:06.000+00:00', 'visibilidad': True}","{'idTipo': 28, 'nombreTipo': 'UNIDAD'}",,"{'idSubTipo': 18, 'nombreSubTipo': 'GIGANTE'}","{'idSubTipo': 2, 'nombreSubTipo': 'SOLDADO'}","{'idSubTipo': 13, 'nombreSubTipo': 'REALEZA'}",,"{'idRareza': 4, 'nombreRareza': 'DIAMANTE'}",,"{'idRareza': 4, 'nombreRareza': 'DIAMANTE'}",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
362,ALERTAR AL REY,,0/9,0,FALSE,,"Descarta una carta. Si lo haces, busca en tu Reino una carta de unidad realeza y ponla en tu mano.",3,FALSE,,,,,,https://i.postimg.cc/DzYYYBqR/ALERTAR-AL-REY-copia.webp,,,,,,,,,,,,"{'idExpansion': 5, 'nombreExpansion': 'IMPERIO', 'fechaLanzamiento': '2024-07-04T19:48:17.000+00:00', 'visibilidad': True}","{'idTipo': 1, 'nombreTipo': 'ACCION'}",,,"{'idSubTipo': 2, 'nombreSubTipo': 'SOLDADO'}","{'idSubTipo': 12, 'nombreSubTipo': 'RAPIDA'}",,"{'idRareza': 1, 'nombreRareza': 'PLATA'}",,"{'idRareza': 1, 'nombreRareza': 'PLATA'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
454,"ALFER, LINAJE FORJADOR",,0/9,0.5,TRUE,,"Aparición en juego: Los otros enanos aliados ganan un contador +1/+1. Siempre que otro enano aliado entre al campo, ""Alfer, linaje forjador"" gana un contador +1/+1.",2,FALSE,,1,1,,,https://i.postimg.cc/4ychHT2V/ALFER-LINAJE-FORJADOR-copia.webp,,,,,,,,,,,,"{'idExpansion': 6, 'nombreExpansion': 'ANCESTROS', 'fechaLanzamiento': '2024-11-19T03:36:06.000+00:00', 'visibilidad': True}","{'idTipo': 28, 'nombreTipo': 'UNIDAD'}",,"{'idSubTipo': 19, 'nombreSubTipo': 'ENANO'}",,"{'idSubTipo': 13, 'nombreSubTipo': 'REALEZA'}",,"{'idRareza': 4, 'nombreRareza': 'DIAMANTE'}",,"{'idRareza': 4, 'nombreRareza': 'DIAMANTE'}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
455,ALIANZA O RIVALIDAD,,0/9,1,TRUE,,Agotar: Elige 1: -La unidad objetivo gana +1/+0 hasta el final del turno. -La unidad objetivo gana -1/-0 hasta el final del turno.,1,FALSE,1,1,1,,,https://i.postimg.cc/gcLhTvcj/ALIANZA-O-RIVALIDAD-copia.webp,,,,,,,,,,,,"{'idExpansion': 6, 'nombreExpansion': 'ANCESTROS', 'fechaLanzamiento': '2024-11-19T03:36:06.000+00:00', 'visibilidad': True}","{'idTipo': 6, 'nombreTipo': 'TESORO'}",,,,,,"{'idRareza': 1, 'nombreRareza': 'PLATA'}",,"{'idRareza': 1, 'nombreRareza': 'PLATA'}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
456,ALMA RENOVADA,,1/9,1,TRUE,,"Siempre que entre al campo desde el Averno, gana Frenesí hasta el final del turno y dos contadores +1/+1. Derrotado: Pon un contador +1/+1 en el enano aliado objetivo.",1,FALSE,1,1,2,,,https://i.postimg.cc/wTKN873V/ALMA-RENOVADA-copia.webp,,,,,,,,,,,,"{'idExpansion': 6, 'nombreExpansion': 'ANCESTROS', 'fechaLanzamiento': '2024-11-19T03:36:06.000+00:00', 'visibilidad': True}","{'idTipo': 28, 'nombreTipo': 'UNIDAD'}",,"{'idSubTipo': 19, 'nombreSubTipo': 'ENANO'}",,,,"{'idRareza': 2, 'nombreRareza': 'BRONCE'}",,"{'idRareza': 2, 'nombreRareza': 'BRONCE'}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,
143,ALMIRANTE FREDERICK,,4/9,1,FALSE,,"Dureza. Al principio de tu fase de combate, puedes descartar una carta de soldado o pirata para que esta unidad gane un contador +1/+1. Luego cada oponente puede descartar una carta. Si no lo hacen, gana Frenesí hasta el final del turno.",4,FALSE,,3,3,,,https://i.postimg.cc/2S2kZ3B7/ALMIRANTE-FREDERICK-copia.jpg,https://i.postimg.cc/DZ1jxYqW/ALMIRANTE-FREDERICK.webp,,,,,,,,,,,"{'idExpansion': 3, 'nombreExpansion': 'PACTO SECRETO', 'fechaLanzamiento': '2024-05-26T04:09:09.000+00:00', 'visibilidad': True}","{'idTipo': 28, 'nombreTipo': 'UNIDAD'}",,"{'idSubTipo': 2, 'nombreSubTipo': 'SOLDADO'}","{'idSubTipo': 1, 'nombreSubTipo': 'PIRATA'}",,,"{'idRareza': 1, 'nombreRareza': 'PLATA'}",,"{'idRareza': 1, 'nombreRareza': 'PLATA'}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,
363,ALQUIMISTA DE TESOROS,,1/9,1,TRUE,,"Sorpresivo. Aparición en juego: Excavar Bóveda 2, luego puedes mostrar la primera carta de tu Bóveda.  Siempre que muestres por este efecto, intercambia ese tesoro por el tesoro aliado no agotado objetivo.",3,FALSE,,3,2,,,https://i.postimg.cc/nzySnrSk/ALQUIMISTA-DE-TESOROS-copia.webp,https://i.postimg.cc/Wzr3Y3yb/REGIONAL-ALQUIMISTA-copia.webp,,,,,,,,,,El tesoro intercambiado ingresa en la zona de la reserva.,"{'idExpansion': 5, 'nombreExpansion': 'IMPERIO', 'fechaLanzamiento': '2024-07-04T19:48:17.000+00:00', 'visibilidad': True}","{'idTipo': 28, 'nombreTipo': 'UNIDAD'}",,"{'idSubTipo': 7, 'nombreSubTipo': 'MAGO'}","{'idSubTipo': 1, 'nombreSubTipo': 'PIRATA'}",,,"{'idRareza': 3, 'nombreRareza': 'ORO'}",,"{'idRareza': 3, 'nombreRareza': 'ORO'}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,
182,ALTAR DE IRIS,,0/9,1.15,TRUE,,"Durante tu turno, si ganaste 3 o más vidas este turno, puedes erosionar para crear una ficha ángel 3/3 con Evasión. Erosión 2.",2,FALSE,,,,,,https://i.postimg.cc/mkpZt7hS/ALTAR-DE-IRIS-COPIA.webp,,,,,,,,,,,"Aunque hayas jugado el monumento posterior a ganar vidas, esas vidas ganadas durante el transcurso del turno cuentan para su activación. Al no tener tampoco una restricción de cuantas veces puede activarse, puede activarse las dos veces en el mismo turno.","{'idExpansion': 4, 'nombreExpansion': 'TRONO COMPARTIDO', 'fechaLanzamiento': '2024-05-26T04:09:14.000+00:00', 'visibilidad': True}","{'idTipo': 17, 'nombreTipo': 'MONUMENTO'}",,"{'idSubTipo': 17, 'nombreSubTipo': 'MONJE'}",,,,"{'idRareza': 3, 'nombreRareza': 'ORO'}",,"{'idRareza': 3, 'nombreRareza': 'ORO'}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
